date,CU,AL,ZN,NI
2016-06-23,0.34008186219909764,0.2774396013570087,0.19841581058438967,0.1840627258595041
2016-06-24,0.33988818769784057,0.2774971707356639,0.19856257666469737,0.1840520649017982
2016-06-27,0.3405489464573803,0.2771523722021429,0.19845804063935274,0.18384064070112394
2016-06-28,0.34130407672923707,0.2765582913519562,0.19877560183108062,0.18336203008772622
2016-06-29,0.3461081153263585,0.2759291069606575,0.19663338436292202,0.1813293933500621
2016-06-30,0.34941480853879536,0.274661705036676,0.19543397395551063,0.18048951246901807
2016-07-01,0.34972524390257737,0.2741635517976454,0.1951875314919342,0.18092367280784313
2016-07-04,0.3501609442204129,0.27459674476753465,0.19427578695388423,0.18096652405816832
2016-07-05,0.3528214477412603,0.2734157920380227,0.19301675183119454,0.18074600838952246
2016-07-06,0.3592833880974161,0.27543111196242154,0.19417482391465213,0.17111067602551028
2016-07-07,0.36053963379942994,0.2748684638060482,0.1938232230392109,0.17076867935531104
2016-07-08,0.3593932898077911,0.2761187268797986,0.19294330684403585,0.17154467646837446
2016-07-11,0.3602531248848153,0.27601740044238265,0.19205723239899639,0.17167224227380573
2016-07-12,0.3715533693312344,0.2711516954705598,0.18822807005912365,0.16906686513908217
2016-07-13,0.3705973262547423,0.27341465172378915,0.1867264783283166,0.1692615436931521
2016-07-14,0.3701315276229105,0.27394481122162084,0.18641874512697953,0.16950491602848908
2016-07-15,0.3625187537018323,0.27698253889967844,0.18793236890897097,0.17256633848951836
2016-07-18,0.3658206607946001,0.27568433385814567,0.18679533798096545,0.1716996673662889
2016-07-19,0.366816311883065,0.2740353517878599,0.1856353693923306,0.1735129669367445
2016-07-20,0.36653068118669513,0.2741536729612895,0.185420682064866,0.1738949637871495
2016-07-21,0.3672256998808705,0.2753136598885347,0.1837205473720373,0.17374009285855752
2016-07-22,0.36749939848382795,0.27557647859680506,0.183046226923014,0.1738778959963531
2016-07-25,0.36608904408186854,0.276972224351015,0.18131219936779475,0.17562653219932176
2016-07-26,0.3655209661342427,0.27769278795779456,0.18003233961035583,0.17675390629760693
2016-07-27,0.3668876279563757,0.2769781835226279,0.17983944823341366,0.17629474028758282
2016-07-28,0.36665478183101446,0.2767093378287073,0.17894576439924767,0.17769011594103046
2016-07-29,0.3664394055983996,0.27678630606331756,0.17835267966907065,0.17842160866921217
2016-08-01,0.36638396284563957,0.2766722959691438,0.17850509938418163,0.17843864180103508
2016-08-02,0.36517529373142776,0.27888135949187126,0.17779888332909474,0.17814446344760632
2016-08-03,0.36600791850807424,0.2792058720134443,0.1769959073867316,0.17779030209174998
2016-08-04,0.366279575659459,0.27933745289896245,0.17710812279467347,0.17727484864690501
2016-08-05,0.36642385080111617,0.2817726558421041,0.1765563106566962,0.17524718270008355
2016-08-08,0.3573583161466821,0.27782115024055287,0.17004063197720512,0.19477990163555994
2016-08-09,0.35614826383212483,0.27990891010352853,0.16895135019955512,0.19499147586479157
2016-08-10,0.35405425207039987,0.2858770519594015,0.16784711705407918,0.19222157891611943
2016-08-11,0.3546599937082551,0.2872667780084463,0.16658587351077905,0.1914873547725196
2016-08-12,0.3561482195488331,0.28881241873880537,0.16365359387897252,0.19138576783338912
2016-08-15,0.3551298295793367,0.29167742143128983,0.1635527384042811,0.18964001058509236
2016-08-16,0.35381093126106755,0.2934016359928978,0.16014539690677984,0.19264203583925482
2016-08-17,0.3542702258515678,0.2939754862885934,0.15962731949679773,0.19212696836304122
2016-08-18,0.3540019570639582,0.2943632842647601,0.15888455297152787,0.19275020569975387
2016-08-19,0.35209242536585517,0.2980028559770131,0.15809723316095373,0.19180748549617785
2016-08-22,0.35597604619632883,0.29127675232161493,0.15871462592671193,0.1940325755553443
2016-08-23,0.35712816662014196,0.28892386561234723,0.159207956130941,0.19474001163656984
2016-08-24,0.3589557275354657,0.28520856529647626,0.15995021286959263,0.19588549429846536
2016-08-25,0.3587241096265148,0.2844651722865439,0.15957109968262065,0.19723961840432067
2016-08-26,0.35851963136468507,0.28455589193907627,0.15961378654934005,0.19731069014689856
2016-08-29,0.3618469836613834,0.28517354148689694,0.16090395674471797,0.19207551810700169
2016-08-30,0.35963124992948065,0.2835234713286239,0.15633905049398217,0.20050622824791342
2016-08-31,0.3573906802295894,0.2821809218278416,0.15525195436985634,0.20517644357271272
2016-09-01,0.35234479780996164,0.28327057303009234,0.1529124244485024,0.21147220471144357
2016-09-02,0.35260299648091775,0.28224607125966833,0.15295770412869053,0.21219322813072344
2016-09-05,0.3530338646751017,0.28274281439015325,0.15222042772603422,0.21200289320871094
2016-09-06,0.3544154634276726,0.28410003722002963,0.15228121134390796,0.20920328800838983
2016-09-07,0.3566447271824637,0.27975007488256465,0.15283773865796108,0.21076745927701046
2016-09-08,0.35683508479042386,0.279888812772309,0.15276964323721237,0.21050645920005484
2016-09-09,0.35608540104109415,0.2813024078529995,0.1525864538918562,0.2100257372140502
2016-09-12,0.35543756085459693,0.282795934868131,0.15215669939872273,0.20960980487854927
2016-09-13,0.35440281877681457,0.28460269245168696,0.15172911047783638,0.2092653782936622
2016-09-14,0.3559577196512122,0.2856092436179281,0.15232700077234151,0.20610603595851817
2016-09-19,0.3560987156422596,0.2853136074208143,0.15243260731913208,0.20615506961779406
2016-09-20,0.3569438728701147,0.2847498134752034,0.15263160003867526,0.2056747136160066
2016-09-21,0.3534840363590782,0.29254814599971096,0.15105423600369708,0.2029135816375138
2016-09-22,0.3541530917472686,0.2926272935502275,0.15120571084093046,0.20201390386157353
2016-09-23,0.3543590333819566,0.29232732530112276,0.15124652349767798,0.20206711781924264
2016-09-26,0.35748676875506763,0.29087322847964314,0.1510002088778446,0.20063979388744463
2016-09-27,0.3578891584212684,0.2907076239543807,0.15088938387145706,0.20051383375289386
